group,eid,index,used.in.pca
1,999,41647,1
1,999,425464,1
1,999,485197,1
0,999,193715,1
0,999,111312,1
1,999,101321,0
0,999,126788,1
0,999,320104,0
1,999,215246,1
0,999,202431,1
0,999,49966,0
1,999,318136,1
0,999,404464,1
0,999,274694,1
0,999,40426,1
0,999,213211,1
0,999,367863,1
0,999,322589,1
1,999,180984,1
0,999,224652,0
1,999,55568,1
1,999,170221,1
1,999,449146,1
0,999,143389,1
0,999,88845,1
1,999,158394,1
1,999,424074,1
1,999,314159,1
0,999,61952,1
1,999,355230,1
1,999,258926,1
1,999,318917,1
0,999,130646,1
0,999,253178,1
0,999,123030,1
0,999,93843,1
1,999,427465,1
0,999,390667,1
1,999,312571,0
1,999,372759,1
0,999,157325,1
0,999,222096,1
0,999,244976,0
0,999,352275,1
0,999,473679,1
1,999,201282,1
1,999,85739,1
0,999,287708,1
1,999,203843,1
1,999,95606,1
0,999,283442,1
0,999,268326,1
1,999,322642,1
0,999,61656,1
0,999,392957,1
1,999,391300,1
0,999,172906,1
1,999,461918,1
0,999,405249,1
0,999,429028,1
0,999,335214,1
0,999,429876,1
1,999,77006,1
0,999,323969,0
0,999,177801,0
0,999,270629,1
1,999,177667,1
1,999,268623,1
1,999,254158,1
0,999,138048,1
1,999,280122,1
1,999,346821,0
0,999,111350,1
0,999,192517,1
0,999,451444,1
1,999,244781,1
1,999,235377,1
1,999,461486,1
0,999,277665,1
1,999,22918,1
0,999,367841,1
1,999,362865,1
0,999,148762,0
0,999,470539,1
0,999,98495,1
0,999,249273,1
0,999,303419,0
1,999,188235,0
1,999,268162,1
0,999,82659,0
1,999,349079,1
1,999,132327,1
1,999,434043,1
0,999,260770,1
0,999,312648,1
1,999,148261,1
1,999,163794,1
0,999,66562,1
0,999,202184,1
0,999,356443,1
0,999,355640,0
1,999,344214,1
1,999,417825,1
1,999,135751,1
0,999,217413,1
0,999,370730,1
1,999,384889,1
0,999,63991,1
0,999,54314,1
0,999,145203,0
1,999,111135,0
0,999,305536,1
0,999,300571,1
1,999,64823,0
0,999,37759,1
1,999,19339,1
0,999,350685,1
1,999,342079,1
0,999,433496,1
1,999,448075,1
1,999,113214,1
0,999,109633,1
1,999,206182,1
0,999,484782,0
0,999,79401,1
1,999,392677,1
0,999,111467,1
1,999,119878,1
0,999,73229,1
1,999,481185,1
1,999,42031,1
0,999,322464,1
0,999,38815,1
1,999,362121,1
0,999,169743,1
1,999,230787,1
1,999,300041,1
0,999,75630,1
0,999,485937,1
1,999,156376,1
0,999,318579,1
1,999,232058,1
0,999,436423,1
0,999,5677,1
1,999,282858,1
1,999,83813,1
0,999,365531,0
0,999,344463,1
0,999,407406,1
0,999,370879,0
0,999,190642,1
0,999,91099,1
1,999,339099,1
1,999,357669,1
1,999,116032,1
0,999,204338,1
0,999,229656,1
0,999,362011,1
1,999,380128,0
0,999,148642,1
1,999,224957,1
0,999,95269,1
0,999,59497,1
1,999,16815,1
0,999,312039,1
1,999,34014,0
0,999,28898,0
0,999,265177,1
0,999,34137,1
0,999,144856,1
1,999,153553,1
1,999,482620,1
1,999,111381,0
0,999,375573,1
1,999,28483,1
0,999,169236,1
1,999,167432,1
1,999,158141,1
0,999,12107,1
1,999,376922,1
0,999,246819,1
1,999,481961,0
0,999,190512,0
1,999,394683,1
1,999,61817,1
0,999,57650,1
1,999,28352,1
0,999,245235,1
1,999,312893,0
0,999,397056,1
1,999,234492,1
1,999,65083,1
0,999,11135,0
1,999,26448,1
1,999,16138,1
0,999,228407,1
0,999,90342,1
0,999,8174,1
1,999,68744,1
1,999,422117,1
1,999,429208,1
1,999,45001,1
1,999,97129,1
1,999,105555,1
1,999,460666,1
0,999,56265,0
0,999,420141,1
1,999,59336,1
1,999,486099,1
0,999,30047,1
1,999,72036,1
1,999,195262,1
0,999,204541,1
1,999,22308,0
1,999,89185,1
1,999,26965,0
1,999,379212,1
1,999,72122,0
1,999,271076,1
0,999,40452,1
1,999,218560,1
1,999,286063,1
0,999,407404,0
0,999,378111,1
1,999,138091,1
0,999,121943,1
1,999,134340,1
1,999,64544,1
1,999,52005,1
0,999,23639,1
1,999,22223,1
0,999,199587,1
0,999,329954,1
1,999,166520,0
1,999,136309,0
1,999,429647,1
1,999,68498,1
0,999,147954,1
1,999,433736,1
0,999,125247,1
0,999,387663,1
1,999,119438,1
1,999,370310,1
0,999,356985,1
1,999,433885,1
0,999,142511,1
0,999,261338,0
1,999,110936,1
0,999,415296,0
0,999,421713,1
0,999,251165,1
1,999,342181,1
0,999,298995,1
1,999,253306,1
0,999,254707,1
0,999,10478,1
1,999,87304,1
0,999,462461,1
0,999,469099,1
1,999,116683,1
1,999,75154,1
1,999,53538,1
1,999,262765,1
1,999,318637,1
1,999,397521,1
0,999,431288,1
1,999,94399,1
1,999,309279,1
1,999,391948,1
0,999,350729,1
0,999,411327,1
0,999,314959,1
0,999,28688,1
1,999,344086,1
0,999,379482,1
0,999,450079,1
1,999,107404,0
1,999,143126,0
0,999,395235,0
1,999,20999,1
0,999,184048,1
0,999,198286,1
1,999,328134,1
1,999,81900,1
1,999,186538,1
0,999,335820,1
1,999,235382,1
1,999,207020,1
1,999,108785,1
0,999,211785,1
0,999,51161,1
1,999,59380,1
1,999,425976,1
0,999,121990,0
0,999,159107,1
1,999,462841,1
1,999,187588,1
1,999,427883,1
0,999,229557,1
1,999,374115,1
1,999,286118,1
1,999,299177,1
1,999,408851,1
0,999,410918,1
1,999,250276,1
0,999,7089,1
1,999,350730,1
1,999,455390,1
0,999,207151,1
1,999,292322,1
0,999,389826,1
0,999,194674,1
1,999,229582,0
0,999,120230,1
1,999,130732,1
0,999,275344,1
0,999,142158,0
1,999,449558,1
0,999,58335,1
0,999,431372,1
0,999,476341,1
1,999,187728,1
1,999,347589,1
0,999,107054,1
0,999,52477,1
0,999,224793,1
1,999,192625,1
1,999,282183,1
1,999,420386,1
1,999,192848,1
1,999,319976,1
1,999,288588,1
1,999,165593,1
0,999,114058,1
0,999,426940,1
0,999,375346,0
0,999,209928,0
1,999,418127,1
1,999,334059,1
0,999,69834,0
0,999,417850,0
1,999,269829,1
0,999,125160,0
0,999,440887,1
0,999,286634,1
0,999,165118,1
1,999,189840,1
0,999,374315,1
0,999,97353,1
1,999,191624,1
0,999,397389,1
1,999,357503,1
1,999,295600,1
0,999,164608,1
0,999,241162,0
0,999,121323,1
1,999,327698,1
1,999,285474,0
1,999,16710,0
1,999,268102,0
0,999,109787,1
0,999,256415,1
0,999,430580,1
0,999,396352,1
1,999,324973,1
0,999,33676,1
0,999,286911,1
1,999,248024,1
1,999,89859,1
1,999,251083,0
1,999,368263,0
1,999,321319,1
1,999,228655,1
1,999,193580,1
1,999,15821,0
0,999,329839,1
0,999,215247,1
1,999,403142,1
1,999,39453,1
1,999,130276,1
0,999,115377,0
0,999,34045,1
1,999,192339,0
1,999,347950,1
0,999,328251,1
0,999,435089,1
1,999,294682,1
0,999,315069,1
0,999,474491,1
1,999,410049,1
0,999,111744,1
1,999,122385,1
1,999,288143,1
0,999,178883,1
1,999,98223,1
1,999,447560,0
0,999,321455,0
0,999,477685,0
0,999,444336,1
0,999,458482,0
1,999,40962,1
0,999,35334,1
0,999,101174,1
1,999,11505,1
0,999,187785,1
0,999,393052,1
1,999,356101,1
0,999,136075,0
1,999,383855,1
0,999,127446,1
1,999,325047,1
0,999,163141,1
0,999,392236,1
0,999,270301,1
1,999,159057,1
1,999,140237,1
1,999,406981,1
1,999,22277,0
1,999,340764,1
1,999,439461,1
0,999,451041,1
0,999,380490,1
0,999,41011,1
0,999,257839,1
1,999,229172,1
1,999,453674,0
