group,eid,index,used.in.pca
1,999,41664,1
1,999,426271,1
1,999,486164,1
0,999,193939,1
0,999,111429,1
1,999,101428,1
0,999,126934,1
0,999,320638,1
1,999,215500,1
0,999,202665,1
0,999,49986,1
1,999,318668,1
0,999,405213,1
0,999,275114,1
0,999,40443,1
0,999,213464,1
0,999,368536,1
0,999,323130,1
1,999,181192,1
0,999,224922,1
1,999,55591,1
1,999,170411,1
1,999,450103,1
0,999,143548,1
0,999,88932,1
1,999,158566,1
1,999,424880,1
1,999,314682,1
0,999,61979,1
1,999,355858,1
1,999,259314,1
1,999,319449,1
0,999,130793,1
0,999,253550,1
0,999,123172,1
0,999,93936,1
1,999,428279,1
0,999,391389,1
1,999,313092,1
1,999,373441,1
0,999,157497,1
0,999,222360,1
0,999,245325,1
0,999,352895,1
0,999,474642,1
1,999,201516,1
1,999,85817,1
0,999,288159,1
1,999,204078,1
1,999,95700,1
0,999,283883,1
0,999,268733,1
1,999,323183,1
0,999,61681,1
0,999,393688,1
1,999,392026,1
0,999,173098,1
1,999,462878,1
0,999,405998,1
0,999,429846,1
0,999,335787,1
0,999,430695,1
1,999,77055,1
0,999,324512,1
0,999,178002,1
0,999,271040,1
1,999,177868,1
1,999,269030,1
1,999,254539,1
0,999,138203,1
1,999,280551,1
1,999,347424,1
0,999,111467,1
0,999,192739,1
0,999,452401,1
1,999,245129,1
1,999,235665,1
1,999,462446,1
0,999,278089,1
1,999,22931,1
0,999,368514,1
1,999,363518,1
0,999,148928,1
0,999,471501,1
0,999,98598,1
0,999,249634,1
0,999,303908,1
1,999,188450,1
1,999,268568,1
0,999,82728,1
1,999,349694,1
1,999,132476,1
1,999,434896,1
0,999,261158,1
0,999,313169,1
1,999,148427,1
1,999,163975,1
0,999,66591,1
0,999,202418,1
0,999,357074,1
0,999,356271,1
1,999,344814,1
1,999,418606,1
1,999,135904,1
0,999,217668,1
0,999,371405,1
1,999,385600,1
0,999,64019,1
0,999,54337,1
0,999,145365,1
1,999,111252,1
0,999,306035,1
0,999,301053,1
1,999,64851,1
0,999,37776,1
1,999,19347,1
0,999,351301,1
1,999,342673,1
0,999,434333,1
1,999,449032,1
1,999,113334,1
0,999,109750,1
1,999,206421,1
0,999,485748,1
0,999,79468,1
1,999,393407,1
0,999,111584,1
1,999,120012,1
0,999,73273,1
1,999,482149,1
1,999,42048,1
0,999,323005,1
0,999,38832,1
1,999,362772,1
0,999,169933,1
1,999,231069,1
1,999,300522,1
0,999,75676,1
0,999,486904,1
1,999,156548,1
0,999,319111,1
1,999,232340,1
0,999,437369,1
0,999,5677,1
1,999,283297,1
1,999,83885,1
0,999,366197,1
0,999,345063,1
0,999,408156,1
0,999,371554,1
0,999,190861,1
0,999,91191,1
1,999,339685,1
1,999,358304,1
1,999,116160,1
0,999,204573,1
0,999,229935,1
0,999,362660,1
1,999,380825,1
0,999,148808,1
1,999,225227,1
0,999,95362,1
0,999,59522,1
1,999,16822,1
0,999,312559,1
1,999,34031,1
0,999,28912,1
0,999,265577,1
0,999,34154,1
0,999,145018,1
1,999,153721,1
1,999,483585,1
1,999,111498,1
0,999,376262,1
1,999,28497,1
0,999,169423,1
1,999,167617,1
1,999,158313,1
0,999,12111,1
1,999,377611,1
0,999,247176,1
1,999,482925,1
0,999,190731,1
1,999,395417,1
1,999,61843,1
0,999,57675,1
1,999,28366,1
0,999,245585,1
1,999,313415,1
0,999,397797,1
1,999,234778,1
1,999,65112,1
0,999,11138,1
1,999,26461,1
1,999,16144,1
0,999,228685,1
0,999,90432,1
0,999,8174,1
1,999,68773,1
1,999,422920,1
1,999,430026,1
1,999,45020,1
1,999,97225,1
1,999,105666,1
1,999,461626,1
0,999,56290,1
0,999,420938,1
1,999,59361,1
1,999,487066,1
0,999,30061,1
1,999,72071,1
1,999,195488,1
0,999,204776,1
1,999,22320,1
1,999,89272,1
1,999,26978,1
1,999,379908,1
1,999,72157,1
1,999,271487,1
0,999,40469,1
1,999,218817,1
1,999,286510,1
0,999,408154,1
0,999,378805,1
1,999,138246,1
0,999,122084,1
1,999,134493,1
1,999,64572,1
1,999,52026,1
0,999,23652,1
1,999,22235,1
